dummy,n_species,min_species,species_order,training_data,testing_data,training_start,val_split,reconstruction_loss,depth,n_latent,beta,monitor,mode,learning_rate,batch_size,epochs,stride,n_bootstrap,n_tile,n_colors,fully_connected,testing,chunk_size,train_size,val_size,checkpoint_path,pix_err,patch_err
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,1065,1065,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_17-25-53/vae.ckpt,0.0079225301742553,0.0892018779342723
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.51,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,1044,1086,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.51/2023-04-28_14-39-45/vae.ckpt,0.0084455609321594,0.0966850828729281
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.52,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,1022,1108,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.52/2023-04-28_14-49-29/vae.ckpt,0.0081509351730346,0.0965703971119133
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.53,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,1001,1129,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.53/2023-05-04_12-48-08/vae.ckpt,0.0051276087760925,0.0611160318866253
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.54,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,980,1150,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.54/2023-05-04_12-51-03/vae.ckpt,0.0066983699798583,0.0834782608695652
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.55,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,958,1172,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.55/2023-05-04_12-54-00/vae.ckpt,0.0075591802597045,0.0878839590443686
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.56,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,937,1193,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.56/2023-05-04_12-56-43/vae.ckpt,0.0059133768081665,0.0645431684828164
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5700000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,916,1214,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.57/2023-05-04_12-59-56/vae.ckpt,0.008172869682312,0.0922570016474464
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5800000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,895,1235,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.58/2023-05-04_13-02-46/vae.ckpt,0.0039220452308654,0.0526315789473684
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.5900000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,873,1257,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.59/2023-05-04_13-05-45/vae.ckpt,0.001727819442749,0.0198886237072394
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6000000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,852,1278,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.60/2023-05-04_13-09-00/vae.ckpt,0.0071889758110046,0.0688575899843505
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6100000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,831,1299,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.61/2023-05-04_13-11-53/vae.ckpt,0.008347749710083,0.0877598152424942
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6200000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,809,1321,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.62/2023-05-04_13-15-05/vae.ckpt,0.0096163153648376,0.1044663133989401
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6300000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,788,1342,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.63/2023-05-04_13-18-10/vae.ckpt,0.0107465386390686,0.1192250372578241
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6400000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,767,1363,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.64/2023-05-04_13-21-17/vae.ckpt,0.0068495273590087,0.078503301540719
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6500000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,745,1385,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.65/2023-05-04_13-24-40/vae.ckpt,0.0130640864372253,0.1285198555956678
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6600000000000001,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,724,1406,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.66/2023-05-04_13-28-04/vae.ckpt,0.0169974565505981,0.1770981507823613
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6700000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,703,1427,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.67/2023-05-04_13-31-16/vae.ckpt,0.01128351688385,0.1156271899088998
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6800000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,682,1448,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.68/2023-05-04_13-34-25/vae.ckpt,0.0123985409736633,0.1408839779005525
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.6900000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,660,1470,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.69/2023-05-04_13-37-12/vae.ckpt,0.0095716118812561,0.1238095238095238
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7000000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,639,1491,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.70/2023-05-04_13-40-27/vae.ckpt,0.0144670009613037,0.1576123407109322
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7100000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,618,1512,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.71/2023-05-04_13-43-10/vae.ckpt,0.0100601315498352,0.1018518518518518
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7200000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,596,1534,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.72/2023-05-04_13-46-00/vae.ckpt,0.0123451948165893,0.1342894393741851
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7300000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,575,1555,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.73/2023-05-04_13-48-43/vae.ckpt,0.0046272277832031,0.0591639871382636
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7400000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,554,1576,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.74/2023-05-04_13-51-31/vae.ckpt,0.0161653161048889,0.1789340101522842
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7500000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,532,1598,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.75/2023-05-04_13-54-28/vae.ckpt,0.0212961435317993,0.2052565707133917
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7600000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,511,1619,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.76/2023-05-04_14-34-14/vae.ckpt,0.0081116557121276,0.0846201358863496
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7700000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,490,1640,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.77/2023-05-04_14-36-45/vae.ckpt,0.0145341157913208,0.1609756097560975
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7800000000000002,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,469,1661,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.78/2023-05-04_14-39-27/vae.ckpt,0.0213961601257324,0.2034918723660445
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.7900000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,447,1683,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.79/2023-05-04_14-41-58/vae.ckpt,0.0167205333709716,0.1467617349970291
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8000000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,426,1704,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.80/2023-05-04_14-44-27/vae.ckpt,0.0189214944839477,0.1995305164319248
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8100000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,405,1725,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.81/2023-05-04_14-46-47/vae.ckpt,0.0287454724311828,0.2550724637681159
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8200000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,383,1747,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.82/2023-05-04_14-48-56/vae.ckpt,0.0319878458976745,0.3119633657698912
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8300000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,362,1768,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.83/2023-05-04_14-51-02/vae.ckpt,0.0255850553512573,0.21210407239819
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8400000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,341,1789,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.84/2023-05-04_14-53-08/vae.ckpt,0.040075659751892,0.3392956959195081
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8500000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,319,1811,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.85/2023-05-04_14-55-12/vae.ckpt,0.0163928866386413,0.1684152401987852
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8600000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,298,1832,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.86/2023-05-04_14-57-16/vae.ckpt,0.0252754688262939,0.2319868995633187
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8700000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,277,1853,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.87/2023-05-04_14-59-21/vae.ckpt,0.0370682477951049,0.3227199136535348
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8800000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,256,1874,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.88/2023-05-04_15-01-23/vae.ckpt,0.0474836826324462,0.3900747065101387
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.8900000000000003,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,234,1896,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.89/2023-05-04_15-03-26/vae.ckpt,0.0479834079742431,0.4335443037974683
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9000000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,213,1917,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.90/2023-05-04_15-05-27/vae.ckpt,0.0573609471321105,0.4621804903495044
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9100000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,192,1938,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.91/2023-05-04_15-07-27/vae.ckpt,0.0982367396354675,0.6635706914344686
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9200000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,170,1960,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.92/2023-05-04_15-09-26/vae.ckpt,0.1038185358047485,0.713265306122449
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9300000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,149,1981,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.93/2023-05-04_15-11-29/vae.ckpt,0.1128928065299987,0.7344775365976779
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9400000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,128,2002,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.94/2023-05-04_15-13-31/vae.ckpt,0.1378504037857055,0.8286713286713286
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9500000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,106,2024,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.95/2023-05-04_15-15-32/vae.ckpt,0.115396499633789,0.7485177865612648
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9600000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,85,2045,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.96/2023-05-04_15-17-30/vae.ckpt,0.1261040568351745,0.767237163814181
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9700000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,64,2066,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.97/2023-05-04_15-19-30/vae.ckpt,0.1970595121383667,0.9230396902226524
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9800000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,43,2087,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.98/2023-05-04_15-21-26/vae.ckpt,0.1911723017692566,0.949209391471011
dummy,16,2,abundance,petrer_limestone,petrer_limestone,train_from_scratch,0.9900000000000004,bce,32,16,1,val_loss,min,0.001,64,200,2,1,8,1,False,False,1,21,2109,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.99/2023-05-04_15-23-19/vae.ckpt,0.2021396160125732,1.0
